city_id,name,department,population,area_km2,latitude,longitude
1,Medellin,Antioquia,2508452,380.64,6.25,-75.56
2,Bogota,Cundinamarca,7181469,1775.98,4.61,-74.08
3,Cali,Valle del Cauca,2227642,564.00,3.42,-76.52
4,Barranquilla,Atlantico,1274250,154.00,10.96,-74.78
5,Cartagena,Bolivar,1028736,609.00,10.39,-75.51
